,title,subtitle,author,narrated,length,release_date,lenguage,start,rating,price
0,Burn Book,A Tech Love Story,Kara Swisher,Kara Swisher,Length: 7 hrs and 40 mins,02-27-24,English,4.5 out of 5 stars,1380,17.99
1,The Book,A Cover-To-Cover Exploration of the Most Powerful Object of Our Time,Keith Houston,Dennis Kleinman,Length: 9 hrs and 58 mins,04-30-19,English,4.5 out of 5 stars,23,17.19
2,40-Day Social Media Fast,Exchange Your Online Distractions for Real-Life Devotion,Wendy Speake,Wendy Speake,Length: 6 hrs,11-17-20,English,5 out of 5 stars,57,17.19
3,Clean Code,A Handbook of Agile Software Craftsmanship,Robert C. Martin,Theodore O'Brien,Length: 5 hrs and 49 mins,02-27-21,English,5 out of 5 stars,301,21.49
4,Laws of UX,Using Psychology to Design Better Products & Services,Jon Yablonski,Jason Leikam,Length: 3 hrs,07-27-21,English,4.5 out of 5 stars,97,11.17
5,Deep Medicine,How Artificial Intelligence Can Make Healthcare Human Again,Eric Topol,Graham Winton,Length: 11 hrs and 6 mins,03-12-19,English,4.5 out of 5 stars,754,21.49
6,The Singularity Is Nearer,When We Merge with AI,Ray Kurzweil,Adam Barr,Length: 10 hrs and 25 mins,06-25-24,English,4.5 out of 5 stars,219,20.25
7,Designing Data-Intensive Applications,"The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",Martin Kleppmann,Benjamin Lange,Length: 20 hrs and 56 mins,02-05-21,English,5 out of 5 stars,425,30.09
8,Software Engineering at Google,Lessons Learned from Programming Over Time,Titus Winters,Mark Sando,Length: 23 hrs and 36 mins,02-05-21,English,4.5 out of 5 stars,205,25.79
9,Coders at Work,Reflections on the Craft of Programming,Peter Seibel,Mitchell Dorian,Length: 20 hrs and 52 mins,04-21-21,English,5 out of 5 stars,76,30.09
10,How to Do Nothing,Resisting the Attention Economy,Jenny Odell,Rebecca Gibel,Length: 8 hrs and 10 mins,05-07-19,English,3.5 out of 5 stars,710,17.19
11,The Genesis Book,The Story of the People and Projects That Inspired Bitcoin,Aaron van Wirdum,Christian Neale,Length: 10 hrs and 33 mins,06-17-24,English,5 out of 5 stars,5,24.95
12,Learning Agile,"Understanding Scrum, XP, Lean, and Kanban",Andrew Stellman,TJ Johnson,Length: 15 hrs and 4 mins,05-18-21,English,4.5 out of 5 stars,27,21.49
13,Building Microservices,Designing Fine-Grained Systems,Sam Newman,Theodore O'Brien,Length: 21 hrs and 12 mins,02-09-22,English,5 out of 5 stars,99,25.79
14,User Story Mapping,"Discover the Whole Story, Build the Right Product",Jeff Patton,Roy McCrerey,Length: 8 hrs and 19 mins,01-26-21,English,4.5 out of 5 stars,124,21.49
15,Fundamentals of Software Architecture,An Engineering Approach,Mark Richards,Benjamin Lange,Length: 13 hrs and 10 mins,02-27-21,English,4.5 out of 5 stars,248,30.09
16,The Idea Factory,Bell Labs and the Great Age of American Innovation,Jon Gertner,Chris Sorensen,Length: 17 hrs and 28 mins,04-13-12,English,4.5 out of 5 stars,1004,25.79
17,Cryptography,"The Key to Digital Security, How It Works, and Why It Matters",Keith Martin,Matthew Waterson,Length: 7 hrs and 45 mins,05-19-20,English,4.5 out of 5 stars,42,17.19
18,LikeWar,The Weaponization of Social Media,P. W. Singer,George Guidall,Length: 11 hrs and 21 mins,10-02-18,English,4.5 out of 5 stars,950,21.49
19,"The Adventures of an IT Leader, Updated Edition",,Robert D. Austin,Teri Schnaubelt,Length: 10 hrs and 28 mins,05-05-17,English,4.5 out of 5 stars,235,21.49
